--- Iniciando consumidor de predicciones ---
Conectado a Kafka. Esperando eventos...
Switzerland 2015 | real=7.587 predicho=7.186
Mali 2018 | real=4.447 predicho=4.311
Namibia 2018 | real=4.441 predicho=5.309
Cambodia 2018 | real=4.433 predicho=5.323
Burkina Faso 2018 | real=4.424 predicho=4.273
Egypt 2018 | real=4.419 predicho=5.103
Mozambique 2018 | real=4.417 predicho=4.298
Kenya 2018 | real=4.410 predicho=4.967
Zambia 2018 | real=4.377 predicho=4.808
Mauritania 2018 | real=4.356 predicho=4.335
Ethiopia 2018 | real=4.350 predicho=4.582
Georgia 2018 | real=4.340 predicho=5.043
Armenia 2018 | real=4.321 predicho=5.001
Myanmar 2018 | real=4.308 predicho=5.518
Chad 2018 | real=4.301 predicho=3.692
Congo (Kinshasa) 2018 | real=4.245 predicho=3.947
India 2018 | real=4.190 predicho=5.034
Niger 2018 | real=4.166 predicho=3.990
Uganda 2018 | real=4.161 predicho=4.447
Benin 2018 | real=4.141 predicho=3.955
Sudan 2018 | real=4.139 predicho=4.219
Ukraine 2018 | real=4.103 predicho=5.082
Togo 2018 | real=3.999 predicho=3.942
Guinea 2018 | real=3.964 predicho=4.139
Lesotho 2018 | real=3.808 predicho=4.430
Angola 2018 | real=3.795 predicho=4.145
Madagascar 2018 | real=3.774 predicho=4.061
Zimbabwe 2018 | real=3.692 predicho=4.412
Afghanistan 2018 | real=3.632 predicho=3.480
Botswana 2018 | real=3.590 predicho=5.516
Malawi 2018 | real=3.587 predicho=4.137
Haiti 2018 | real=3.582 predicho=3.667
Liberia 2018 | real=3.495 predicho=3.988
Syria 2018 | real=3.462 predicho=4.233
Rwanda 2018 | real=3.408 predicho=5.094
Yemen 2018 | real=3.355 predicho=4.300
Tanzania 2018 | real=3.303 predicho=4.767
South Sudan 2018 | real=3.254 predicho=3.549
Central African Republic 2018 | real=3.083 predicho=2.852
Burundi 2018 | real=2.905 predicho=3.157
Finland 2019 | real=7.769 predicho=7.169
Denmark 2019 | real=7.600 predicho=7.258
Norway 2019 | real=7.554 predicho=7.376
Iceland 2019 | real=7.494 predicho=7.131
Netherlands 2019 | real=7.488 predicho=7.121
Switzerland 2019 | real=7.480 predicho=7.282
Sweden 2019 | real=7.343 predicho=7.166
New Zealand 2019 | real=7.307 predicho=7.200
Canada 2019 | real=7.278 predicho=7.165
Austria 2019 | real=7.246 predicho=6.964
Australia 2019 | real=7.228 predicho=7.159
Costa Rica 2019 | real=7.167 predicho=6.437
Israel 2019 | real=7.139 predicho=6.510
Luxembourg 2019 | real=7.090 predicho=7.234
United Kingdom 2019 | real=7.054 predicho=6.895
Ireland 2019 | real=7.021 predicho=7.181
Germany 2019 | real=6.985 predicho=6.891
Belgium 2019 | real=6.923 predicho=6.792
United States 2019 | real=6.892 predicho=6.646
Czech Republic 2019 | real=6.852 predicho=6.406
United Arab Emirates 2019 | real=6.825 predicho=6.810
Malta 2019 | real=6.726 predicho=6.939
Mexico 2019 | real=6.595 predicho=6.027
France 2019 | real=6.592 predicho=6.714
Taiwan 2019 | real=6.446 predicho=6.414
Chile 2019 | real=6.444 predicho=6.131
Guatemala 2019 | real=6.436 predicho=5.783
Saudi Arabia 2019 | real=6.375 predicho=6.353
Qatar 2019 | real=6.374 predicho=6.952
Spain 2019 | real=6.354 predicho=6.524
Panama 2019 | real=6.321 predicho=6.375
Brazil 2019 | real=6.300 predicho=5.924
Uruguay 2019 | real=6.293 predicho=6.437
Singapore 2019 | real=6.262 predicho=7.531
El Salvador 2019 | real=6.253 predicho=5.615
Italy 2019 | real=6.223 predicho=6.266
Bahrain 2019 | real=6.199 predicho=6.614
Slovakia 2019 | real=6.198 predicho=6.168
Trinidad & Tobago 2019 | real=6.192 predicho=6.192
Poland 2019 | real=6.182 predicho=6.344
Uzbekistan 2019 | real=6.174 predicho=6.258
Lithuania 2019 | real=6.149 predicho=6.016
Colombia 2019 | real=6.125 predicho=6.016
Slovenia 2019 | real=6.118 predicho=6.681
Nicaragua 2019 | real=6.105 predicho=5.722
Kosovo 2019 | real=6.100 predicho=5.756
Argentina 2019 | real=6.086 predicho=6.187
Romania 2019 | real=6.070 predicho=6.002
Cyprus 2019 | real=6.046 predicho=6.346
Ecuador 2019 | real=6.028 predicho=6.005
Kuwait 2019 | real=6.021 predicho=6.517
Thailand 2019 | real=6.008 predicho=6.290
Latvia 2019 | real=5.940 predicho=5.912
South Korea 2019 | real=5.895 predicho=5.997
Estonia 2019 | real=5.893 predicho=6.527
Jamaica 2019 | real=5.890 predicho=5.930
Mauritius 2019 | real=5.888 predicho=6.197
Japan 2019 | real=5.886 predicho=6.697
Honduras 2019 | real=5.860 predicho=5.690
Kazakhstan 2019 | real=5.809 predicho=6.104
Bolivia 2019 | real=5.779 predicho=5.605
Hungary 2019 | real=5.758 predicho=5.773
Paraguay 2019 | real=5.743 predicho=5.992
Northern Cyprus 2019 | real=5.718 predicho=6.480
Peru 2019 | real=5.697 predicho=5.877
Portugal 2019 | real=5.693 predicho=6.489
Pakistan 2019 | real=5.653 predicho=4.822
Russia 2019 | real=5.648 predicho=5.877
Philippines 2019 | real=5.631 predicho=5.733
Serbia 2019 | real=5.603 predicho=5.759
Moldova 2019 | real=5.529 predicho=5.194
Libya 2019 | real=5.525 predicho=5.814
Montenegro 2019 | real=5.523 predicho=5.713
Tajikistan 2019 | real=5.467 predicho=5.176
Croatia 2019 | real=5.432 predicho=5.900
Hong Kong 2019 | real=5.430 predicho=6.929
Dominican Republic 2019 | real=5.425 predicho=6.063
Bosnia and Herzegovina 2019 | real=5.386 predicho=5.483
Turkey 2019 | real=5.373 predicho=5.759
Malaysia 2019 | real=5.339 predicho=6.174
Belarus 2019 | real=5.323 predicho=5.791
Greece 2019 | real=5.287 predicho=5.563
Mongolia 2019 | real=5.285 predicho=5.667
North Macedonia 2019 | real=5.274 predicho=5.768
Nigeria 2019 | real=5.265 predicho=4.767
Kyrgyzstan 2019 | real=5.261 predicho=5.591
Turkmenistan 2019 | real=5.247 predicho=5.875
Algeria 2019 | real=5.211 predicho=5.247
Morocco 2019 | real=5.208 predicho=5.252
Azerbaijan 2019 | real=5.208 predicho=5.709
Lebanon 2019 | real=5.197 predicho=5.481
Indonesia 2019 | real=5.192 predicho=5.772
China 2019 | real=5.191 predicho=6.039
Vietnam 2019 | real=5.175 predicho=5.907
Bhutan 2019 | real=5.082 predicho=5.680
Cameroon 2019 | real=5.044 predicho=4.506
Bulgaria 2019 | real=5.011 predicho=5.883
Ghana 2019 | real=4.996 predicho=4.753
Ivory Coast 2019 | real=4.944 predicho=4.316
Nepal 2019 | real=4.913 predicho=5.223
Jordan 2019 | real=4.906 predicho=5.655
Benin 2019 | real=4.883 predicho=4.085
Congo (Brazzaville) 2019 | real=4.812 predicho=4.768
Gabon 2019 | real=4.799 predicho=5.317
Laos 2019 | real=4.796 predicho=5.461
South Africa 2019 | real=4.722 predicho=5.393
Albania 2019 | real=4.719 predicho=5.515
Venezuela 2019 | real=4.707 predicho=5.466
Cambodia 2019 | real=4.700 predicho=5.447
Palestinian Territories 2019 | real=4.696 predicho=5.019
Senegal 2019 | real=4.681 predicho=4.740
Somalia 2019 | real=4.668 predicho=4.226
Namibia 2019 | real=4.639 predicho=5.293
Niger 2019 | real=4.628 predicho=4.007
Burkina Faso 2019 | real=4.587 predicho=4.317
Armenia 2019 | real=4.559 predicho=5.336
Iran 2019 | real=4.548 predicho=5.542
Guinea 2019 | real=4.534 predicho=4.309
Georgia 2019 | real=4.519 predicho=5.178
Gambia 2019 | real=4.516 predicho=4.547
Kenya 2019 | real=4.509 predicho=4.990
Mauritania 2019 | real=4.490 predicho=4.424
Mozambique 2019 | real=4.466 predicho=4.554
Tunisia 2019 | real=4.461 predicho=5.166
Bangladesh 2019 | real=4.456 predicho=5.319
Iraq 2019 | real=4.437 predicho=5.148
Congo (Kinshasa) 2019 | real=4.418 predicho=4.093
Mali 2019 | real=4.390 predicho=4.369
Sierra Leone 2019 | real=4.374 predicho=3.992
Sri Lanka 2019 | real=4.366 predicho=5.932
Myanmar 2019 | real=4.360 predicho=5.604
Chad 2019 | real=4.350 predicho=3.754
Ukraine 2019 | real=4.332 predicho=5.276
